"","epl_data.home_team","epl_data.away_team","epl_data.home_goals","epl_data.away_goals","epl_data.score_diff","epl_data.home_week","epl_data.away_week"
"1",3,2,0,1,-1,1,1
"2",4,16,2,2,0,1,1
"3",6,18,2,2,0,1,1
"4",7,15,4,2,2,1,1
"5",10,17,1,0,1,1,1
"6",12,5,1,3,-2,1,1
"7",1,20,0,2,-2,1,1
"8",11,13,2,2,0,1,1
"9",14,8,0,1,-1,1,1
"10",19,9,0,3,-3,1,1
"11",2,10,0,1,-1,2,2
"12",13,6,0,3,-3,2,2
"13",15,12,1,3,-2,2,2
"14",16,11,2,0,2,2,2
"15",17,14,2,2,0,2,2
"16",18,19,0,0,0,2,2
"17",20,7,1,2,-1,2,2
"18",5,1,1,2,-1,2,2
"19",9,4,3,0,3,2,2
"20",8,3,1,0,1,2,2
"21",5,2,2,1,1,3,3
"22",7,17,1,1,0,3,3
"23",10,11,0,0,0,3,3
"24",12,14,1,1,0,3,3
"25",15,16,1,1,0,3,3
"26",20,3,3,4,-1,3,3
"27",6,9,0,2,-2,3,3
"28",18,13,0,0,0,3,3
"29",19,4,2,3,-1,3,3
"30",1,8,0,0,0,3,3
"31",2,15,2,2,0,4,4
"32",3,7,1,1,0,4,4
"33",4,5,1,2,-1,4,4
"34",8,20,0,3,-3,4,4
"35",9,18,2,0,2,4,4
"36",11,1,0,1,-1,4,4
"37",14,19,0,1,-1,4,4
"38",17,6,0,0,0,4,4
"39",13,12,3,0,3,4,4
"40",16,10,2,1,1,4,4
"41",1,14,2,0,2,5,5
"42",5,9,0,1,-1,5,5
"43",6,4,3,1,2,5,5
"44",10,8,3,1,2,5,5
"45",12,3,3,1,2,5,5
"46",18,16,1,0,1,5,5
"47",19,13,0,0,0,5,5
"48",7,2,3,2,1,5,5
"49",15,17,0,1,-1,5,5
"50",20,11,2,0,2,5,5
"51",2,19,0,1,-1,6,6
"52",3,15,2,0,2,6,6
"53",4,1,2,0,2,6,6
"54",9,20,1,2,-1,6,6
"55",11,18,1,2,-1,6,6
"56",14,7,2,2,0,6,6
"57",16,6,0,0,0,6,6
"58",8,12,1,1,0,6,6
"59",13,10,2,3,-1,6,6
"60",17,5,1,0,1,6,6
"61",7,1,2,5,-3,7,7
"62",8,2,3,2,1,7,7
"63",10,15,3,0,3,7,7
"64",11,4,2,2,0,7,7
"65",13,16,3,1,2,7,7
"66",14,3,2,1,1,7,7
"67",17,9,4,1,3,7,7
"68",20,12,2,2,0,7,7
"69",18,5,0,1,-1,7,7
"70",19,6,2,3,-1,7,7
"71",2,14,0,1,-1,8,8
"72",3,18,1,1,0,8,8
"73",4,13,1,3,-2,8,8
"74",5,19,2,0,2,8,8
"75",9,11,6,1,5,8,8
"76",12,7,1,2,-1,8,8
"77",15,20,2,2,0,8,8
"78",1,10,3,0,3,8,8
"79",6,8,1,1,0,8,8
"80",16,17,2,2,0,8,8
"81",4,2,2,0,2,9,9
"82",5,20,1,3,-2,9,9
"83",6,10,0,3,-3,9,9
"84",9,3,5,1,4,9,9
"85",13,7,2,2,0,9,9
"86",17,8,0,0,0,9,9
"87",18,1,0,3,-3,9,9
"88",19,15,1,0,1,9,9
"89",11,12,6,2,4,9,9
"90",16,14,0,1,-1,9,9
"91",1,6,2,1,1,10,10
"92",2,16,1,2,-1,10,10
"93",7,5,1,0,1,10,10
"94",12,19,0,1,-1,10,10
"95",14,18,0,2,-2,10,10
"96",20,4,2,1,1,10,10
"97",3,17,1,5,-4,10,10
"98",8,13,1,1,0,10,10
"99",10,9,0,0,0,10,10
"100",15,11,3,0,3,10,10
"101",4,8,1,3,-2,11,11
"102",5,10,0,0,0,11,11
"103",9,12,2,1,1,11,11
"104",11,14,0,0,0,11,11
"105",16,1,0,3,-3,11,11
"106",18,20,2,0,2,11,11
"107",19,7,2,3,-1,11,11
"108",6,15,6,2,4,11,11
"109",13,3,2,0,2,11,11
"110",17,2,3,1,2,11,11
"111",3,11,0,1,-1,12,12
"112",7,18,2,1,1,12,12
"113",10,19,2,0,2,12,12
"114",12,16,1,0,1,12,12
"115",14,4,1,0,1,12,12
"116",15,13,0,1,-1,12,12
"117",20,6,1,1,0,12,12
"118",1,17,1,1,0,12,12
"119",2,9,0,0,0,12,12
"120",8,5,1,2,-1,12,12
"121",4,12,1,0,1,13,13
"122",6,2,4,0,4,13,13
"123",9,8,1,4,-3,13,13
"124",11,7,0,3,-3,13,13
"125",13,14,0,1,-1,13,13
"126",16,3,2,2,0,13,13
"127",18,10,1,2,-1,13,13
"128",19,1,2,1,1,13,13
"129",17,20,4,1,3,13,13
"130",5,15,0,1,-1,13,13
"131",2,18,2,3,-1,14,14
"132",3,6,3,3,0,14,14
"133",5,11,5,1,4,14,14
"134",7,10,1,1,0,14,14
"135",9,13,3,1,2,14,14
"136",15,14,2,0,2,14,14
"137",8,16,1,0,1,14,14
"138",12,1,1,1,0,14,14
"139",17,4,0,0,0,14,14
"140",20,19,1,1,0,14,14
"141",1,15,3,1,2,15,15
"142",4,3,0,1,-1,15,15
"143",10,20,0,0,0,15,15
"144",13,2,1,1,0,15,15
"145",14,9,2,0,2,15,15
"146",16,7,0,3,-3,15,15
"147",18,12,2,0,2,15,15
"148",19,17,1,1,0,15,15
"149",11,8,2,0,2,15,15
"150",6,5,1,1,0,15,15
"151",3,10,2,1,1,16,16
"152",5,13,1,0,1,16,16
"153",9,16,2,1,1,16,16
"154",12,6,1,1,0,16,16
"155",15,18,0,1,-1,16,16
"156",20,14,0,0,0,16,16
"157",2,1,0,2,-2,16,16
"158",8,19,2,2,0,16,16
"159",17,11,1,2,-1,16,16
"160",7,4,2,1,1,16,16
"161",4,15,3,1,2,17,17
"162",6,7,2,3,-1,17,17
"163",10,12,1,2,-1,17,17
"164",11,2,1,1,0,17,17
"165",13,17,0,2,-2,17,17
"166",14,5,1,2,-1,17,17
"167",19,3,1,2,-1,17,17
"168",16,20,0,0,0,17,17
"169",18,8,3,0,3,17,17
"170",1,9,2,1,1,17,17
"171",2,20,1,1,0,18,18
"172",3,5,0,0,0,18,18
"173",4,18,2,2,0,18,18
"174",8,7,1,0,1,18,18
"175",9,15,4,1,3,18,18
"176",11,6,0,1,-1,18,18
"177",13,1,4,0,4,18,18
"178",14,10,2,0,2,18,18
"179",16,19,1,0,1,18,18
"180",17,12,3,0,3,18,18
"181",1,3,2,0,2,19,19
"182",5,16,0,0,0,19,19
"183",6,14,3,4,-1,19,19
"184",10,4,0,0,0,19,19
"185",12,2,2,0,2,19,19
"186",18,17,1,2,-1,19,19
"187",19,11,1,0,1,19,19
"188",20,13,2,1,1,19,19
"189",7,9,0,0,0,19,19
"190",15,8,0,1,-1,19,19
"191",1,11,1,0,1,20,20
"192",7,3,0,0,0,20,20
"193",10,16,2,1,1,20,20
"194",12,13,1,0,1,20,20
"195",15,2,3,1,2,20,20
"196",18,9,1,2,-1,20,20
"197",19,14,2,1,1,20,20
"198",20,8,2,0,2,20,20
"199",5,4,0,3,-3,20,20
"200",6,17,1,1,0,20,20
"201",2,5,1,0,1,21,21
"202",3,20,1,3,-2,21,21
"203",11,10,3,3,0,21,21
"204",4,19,2,2,0,21,21
"205",8,1,3,3,0,21,21
"206",9,6,0,0,0,21,21
"207",13,18,2,0,2,21,21
"208",14,12,3,1,2,21,21
"209",16,15,2,4,-2,21,21
"210",17,7,0,1,-1,21,21
"211",2,7,1,1,0,22,22
"212",3,12,3,0,3,22,22
"213",4,6,3,3,0,22,22
"214",9,5,4,0,4,22,22
"215",11,20,2,1,1,22,22
"216",13,19,3,0,3,22,22
"217",17,15,4,1,3,22,22
"218",8,10,0,1,-1,22,22
"219",14,1,0,0,0,22,22
"220",16,18,1,0,1,22,22
"221",5,17,1,3,-2,23,23
"222",7,14,3,0,3,23,23
"223",10,13,0,1,-1,23,23
"224",12,8,4,5,-1,23,23
"225",15,3,1,1,0,23,23
"226",18,11,2,1,1,23,23
"227",19,2,0,0,0,23,23
"228",20,9,2,2,0,23,23
"229",1,4,0,1,-1,23,23
"230",6,16,1,2,-1,23,23
"231",1,13,0,0,0,24,24
"232",5,3,1,2,-1,24,24
"233",7,8,2,0,2,24,24
"234",10,14,3,0,3,24,24
"235",12,17,0,3,-3,24,24
"236",15,9,0,1,-1,24,24
"237",19,16,1,1,0,24,24
"238",20,2,2,0,2,24,24
"239",6,11,3,0,3,24,24
"240",18,4,0,0,0,24,24
"241",2,12,2,0,2,25,25
"242",8,15,2,2,0,25,25
"243",9,7,1,3,-2,25,25
"244",11,19,1,0,1,25,25
"245",13,20,1,0,1,25,25
"246",14,6,0,3,-3,25,25
"247",16,5,1,1,0,25,25
"248",17,18,1,0,1,25,25
"249",3,1,0,2,-2,25,25
"250",4,10,1,1,0,25,25
"251",3,14,1,3,-2,26,26
"252",4,11,5,1,4,26,26
"253",5,18,1,2,-1,26,26
"254",6,19,0,1,-1,26,26
"255",12,20,2,2,0,26,26
"256",15,10,2,1,1,26,26
"257",16,13,0,1,-1,26,26
"258",1,7,2,1,1,26,26
"259",2,8,0,6,-6,26,26
"260",9,17,1,2,-1,26,26
"261",7,12,1,0,1,27,27
"262",13,4,1,2,-1,27,27
"263",14,2,2,1,1,27,27
"264",18,3,0,0,0,27,27
"265",19,5,3,2,1,27,27
"266",20,15,1,0,1,27,27
"267",17,16,2,1,1,27,27
"268",10,1,3,2,1,27,27
"269",2,6,1,3,-2,28,27
"270",3,13,2,0,2,28,28
"271",7,19,2,2,0,28,28
"272",12,4,1,2,-1,28,28
"273",15,5,2,2,0,28,28
"274",1,16,1,2,-1,28,28
"275",8,9,3,0,3,27,27
"276",10,18,1,0,1,28,28
"277",14,11,1,0,1,28,27
"278",20,17,1,0,1,28,28
"279",4,14,1,1,0,29,29
"280",6,20,2,3,-1,28,29
"281",9,2,4,0,4,28,29
"282",11,3,1,3,-2,28,29
"283",13,15,1,1,0,29,29
"284",16,12,1,0,1,29,29
"285",17,1,2,2,0,29,29
"286",18,7,0,1,-1,29,29
"287",5,8,1,2,-1,29,28
"288",19,10,1,0,1,29,29
"289",3,16,3,2,1,30,30
"290",12,9,0,0,0,30,29
"291",14,13,1,2,-1,30,30
"292",2,17,0,2,-2,30,30
"293",7,11,1,0,1,30,29
"294",4,20,2,2,0,30,30
"295",5,7,0,1,-1,30,31
"296",6,1,0,2,-2,29,30
"297",16,2,1,0,1,31,31
"298",18,14,1,2,-1,30,31
"299",19,12,0,1,-1,30,31
"300",9,10,0,1,-1,30,30
"301",11,15,1,1,0,30,30
"302",13,8,3,2,1,31,29
"303",17,3,3,0,3,31,31
"304",1,18,4,0,4,31,31
"305",2,4,0,4,-4,32,31
"306",3,9,0,4,-4,32,31
"307",8,17,1,1,0,30,32
"308",12,11,3,2,1,32,31
"309",14,16,2,2,0,32,32
"310",15,19,0,0,0,31,31
"311",20,5,2,2,0,31,31
"312",7,13,1,0,1,32,32
"313",10,6,1,0,1,31,30
"314",2,3,1,2,-1,33,33
"315",5,12,1,0,1,32,33
"316",9,19,2,1,1,32,32
"317",13,11,3,1,2,33,32
"318",16,4,1,0,1,33,32
"319",18,6,1,1,0,32,31
"320",20,1,3,3,0,32,32
"321",8,14,4,1,3,31,33
"322",15,7,0,2,-2,32,33
"323",17,10,3,0,3,33,32
"324",5,6,0,0,0,33,32
"325",4,9,0,3,-3,33,33
"326",6,13,1,1,0,33,34
"327",10,2,1,0,1,33,34
"328",11,16,3,0,3,33,34
"329",12,15,0,3,-3,34,33
"330",19,18,0,1,-1,33,33
"331",1,5,1,1,0,33,34
"332",3,8,1,2,-1,34,32
"333",7,20,2,2,0,34,33
"334",14,17,0,4,-4,34,34
"335",11,9,1,1,0,34,34
"336",8,6,4,0,4,33,34
"337",10,5,2,0,2,34,35
"338",20,18,3,1,2,34,34
"339",1,19,2,0,2,34,34
"340",2,13,2,4,-2,35,35
"341",3,4,1,4,-3,35,34
"342",8,11,2,2,0,34,35
"343",9,14,4,0,4,35,35
"344",7,16,4,0,4,35,35
"345",15,1,0,0,0,34,35
"346",17,19,1,1,0,35,35
"347",1,12,1,0,1,36,35
"348",6,3,2,1,1,35,36
"349",11,5,1,0,1,36,36
