"","schid","minority","female","ses","mathach","size","schtype","meanses"
"1","1224",0,1,-1.528,5.876,842,0,-0.428
"2","1224",0,1,-0.588,19.708,842,0,-0.428
"3","1224",0,0,-0.528,20.349,842,0,-0.428
"4","1224",0,0,-0.668,8.781,842,0,-0.428
"5","1224",0,0,-0.158,17.898,842,0,-0.428
"6","1224",0,0,0.022,4.583,842,0,-0.428
"7","1224",0,1,-0.618,-2.832,842,0,-0.428
"8","1224",0,0,-0.998,0.523,842,0,-0.428
"9","1224",0,1,-0.888,1.527,842,0,-0.428
"10","1224",0,0,-0.458,21.521,842,0,-0.428
"11","1224",0,1,-1.448,9.475,842,0,-0.428
"12","1224",0,1,-0.658,16.057,842,0,-0.428
"13","1224",0,0,-0.468,21.178,842,0,-0.428
"14","1224",0,1,-0.988,20.178,842,0,-0.428
"15","1224",0,0,0.332,20.349,842,0,-0.428
"16","1224",0,1,-0.678,20.508,842,0,-0.428
"17","1224",0,0,-0.298,19.338,842,0,-0.428
"18","1224",1,0,-1.528,4.145,842,0,-0.428
"19","1224",0,1,0.042,2.927,842,0,-0.428
"20","1224",0,0,-0.078,16.405,842,0,-0.428
"21","1224",0,1,0.062,13.653,842,0,-0.428
"22","1224",0,1,-0.128,6.558,842,0,-0.428
"23","1224",0,1,0.472,9.653,842,0,-0.428
"24","1224",0,0,-0.468,3.154,842,0,-0.428
"25","1224",1,1,-1.248,4.753,842,0,-0.428
"26","1224",0,0,-0.628,21.721,842,0,-0.428
"27","1224",0,1,0.832,5.166,842,0,-0.428
"28","1224",0,1,-0.568,6.399,842,0,-0.428
"29","1224",0,1,-0.258,6.821,842,0,-0.428
"30","1224",0,1,-0.138,9.255,842,0,-0.428
"31","1224",0,1,-0.478,3.745,842,0,-0.428
"32","1224",0,1,-0.948,0.858,842,0,-0.428
"33","1224",0,1,0.282,11.542,842,0,-0.428
"34","1224",0,1,-0.118,13.255,842,0,-0.428
"35","1224",0,0,-0.878,10.557,842,0,-0.428
"36","1224",0,0,-0.938,0.868,842,0,-0.428
"37","1224",0,0,-0.548,8.296,842,0,-0.428
"38","1224",1,0,0.142,-1.688,842,0,-0.428
"39","1224",0,1,0.972,2.059,842,0,-0.428
"40","1224",0,0,0.372,6.714,842,0,-0.428
"41","1224",1,0,-1.658,0.122,842,0,-0.428
"42","1224",0,1,-1.068,2.381,842,0,-0.428
"43","1224",0,1,-0.248,16.336,842,0,-0.428
"44","1224",0,1,-1.398,6.134,842,0,-0.428
"45","1224",0,1,0.752,23.584,842,0,-0.428
"46","1224",0,1,0.012,14.053,842,0,-0.428
"47","1224",0,1,-0.418,2.183,842,0,-0.428
"48","1288",0,1,-0.788,7.857,1855,0,0.128
"49","1288",1,0,-0.328,10.171,1855,0,0.128
"50","1288",0,0,0.472,15.699,1855,0,0.128
"51","1288",0,1,0.352,22.919,1855,0,0.128
"52","1288",1,1,-1.468,10.664,1855,0,0.128
"53","1288",0,1,0.202,13.543,1855,0,0.128
"54","1288",0,0,-0.518,18.207,1855,0,0.128
"55","1288",1,0,-0.158,5.552,1855,0,0.128
"56","1288",0,0,0.042,7.416,1855,0,0.128
"57","1288",0,0,0.682,18.792,1855,0,0.128
"58","1288",0,0,1.262,1.575,1855,0,0.128
"59","1288",0,1,0.152,3.534,1855,0,0.128
"60","1288",0,1,-0.678,20.173,1855,0,0.128
"61","1288",0,1,0.332,10.772,1855,0,0.128
"62","1288",0,1,-0.728,2.619,1855,0,0.128
"63","1288",0,1,1.262,21.3,1855,0,0.128
"64","1288",0,0,0.612,19.527,1855,0,0.128
"65","1288",0,1,0.692,18.402,1855,0,0.128
"66","1288",0,1,1.082,20.69,1855,0,0.128
"67","1288",0,0,0.222,21.437,1855,0,0.128
"68","1288",0,0,0.032,7.519,1855,0,0.128
"69","1288",0,0,-0.118,18.397,1855,0,0.128
"70","1288",0,0,-0.488,4.617,1855,0,0.128
"71","1288",0,0,0.322,23.578,1855,0,0.128
"72","1288",0,0,0.592,12.81,1855,0,0.128
