"City_locality","iso3","country","super_region","super_region_name","pm25","sat_2014","log_pm25","log_sat","cluster_region"
"","AUS","Australia",1,"HighIncome",33.4638009049774,33.3142921185601,3.51046428459367,3.50598649765909,2
"´è_´è__lhavo","PRT","Portugal",1,"HighIncome",15,9.86699962615967,2.70805020110221,2.28919581798709,2
"´è_´è__vila","ESP","Spain",1,"HighIncome",10,9.17549991607666,2.30258509299405,2.21653687922213,2
"AACHEN","DEU","Germany",1,"HighIncome",13,15.5379972457886,2.56494935746154,2.74328845927172,2
"AALBORG","DNK","Denmark",1,"HighIncome",11,9.79850196838379,2.39789527279837,2.28222951362319,2
"AALEN","DEU","Germany",1,"HighIncome",12,19.3479995727539,2.484906649788,2.96258903287855,2
"AALESUND","NOR","Norway",1,"HighIncome",7.5,4.72599935531616,2.01490302054226,1.55307904235255,2
"AARSCHOT","BEL","Belgium",1,"HighIncome",15,15.7580051422119,2.70805020110221,2.75734849914734,2
"Aba","NGA","Nigeria",7,"Sub-Saharan Afr",49,45.8204879760742,3.89182029811063,3.82473132681749,4
"Abakaliki","NGA","Nigeria",7,"Sub-Saharan Afr",28,52.1980171203613,3.3322045101752,3.95504450796712,4
"ABANTO Y CIERVANA/ABANTO ZIERB","ESP","Spain",1,"HighIncome",12,9.25250148773193,2.484906649788,2.22489394607059,2
"Abastumani","GEO","Georgia",4,"E-Eur/C-Eur/C-Asia",15,18.2754993438721,2.70805020110221,2.90556132914064,2
"ABBOTSFORD","CAN","Canada",1,"HighIncome",7,4.04150104522705,1.94591014905531,1.39661616881527,2
"ABERDEEN","GBR","United Kingdom",1,"HighIncome",9,6.6574969291687,2.19722457733622,1.89574357744692,2
"Abu Dhabi","ARE","United Arab Emirates",2,"N-Afr/MidEast",56.6666666666667,45.8957443237305,4.03718614838215,3.82637239650949,3
"ACQUAPENDENTE","ITA","Italy",1,"HighIncome",10,17.9379978179932,2.30258509299405,2.88692124605421,2
"ADANA","TUR","Turkey",2,"N-Afr/MidEast",28,23.3541259765625,3.3322045101752,3.15077366985677,4
"Adelaide","AUS","Australia",1,"HighIncome",6.51373927528571,3.15550030980791,1.87391368076681,1.14914706022244,2
"ADIYAMAN","TUR","Turkey",2,"N-Afr/MidEast",44,20.9560012817383,3.78418963391826,3.04242506270928,4
"Adrian, MI","USA","United States of America",1,"HighIncome",9,9.98000144958496,2.19722457733622,2.30058323557236,2
